steamid,game
76561197970825215,10
76561197970825215,20
76561197970825215,30
76561197970825215,40
76561197970825215,50
76561197970825215,60
76561197970825215,70
76561197970825215,80
76561197970825215,80
76561197970825215,130
76561197970825215,220
76561197970825215,240
76561197970825215,546560
76561197970825215,300
76561197970825215,320
76561197973701057,10
76561197973701057,20
76561197973701057,30
76561197973701057,40
76561197973701057,50
76561197973701057,60
76561197973701057,70
76561197973701057,80
76561197973701057,80
76561197973701057,130
76561197973701057,220
76561197973701057,240
76561197973701057,546560
76561197973701057,300
76561197973701057,320
76561198124872187,10
76561198124872187,20
76561198124872187,30
76561198124872187,40
76561198124872187,50
76561198124872187,60
76561198124872187,70
76561198124872187,80
76561198124872187,80
76561198124872187,130
76561198124872187,220
76561198124872187,240
76561198124872187,546560
76561198124872187,300
76561198124872187,320
76561197993312863,10
76561197993312863,20
76561197993312863,30
76561197993312863,40
76561197993312863,50
76561197993312863,60
76561197993312863,70
76561197993312863,80
76561197993312863,80
76561197993312863,130
76561197993312863,220
76561197993312863,240
76561197993312863,546560
76561197993312863,300
76561197993312863,320
76561198019009765,10
76561198019009765,20
76561198019009765,30
76561198019009765,40
76561198019009765,50
76561198019009765,60
76561198019009765,70
76561198019009765,80
76561198019009765,80
76561198019009765,130
76561198019009765,220
76561198019009765,240
76561198019009765,546560
76561198019009765,300
76561198019009765,320
76561198008797636,10
76561198008797636,20
76561198008797636,30
76561198008797636,40
76561198008797636,50
76561198008797636,60
76561198008797636,70
76561198008797636,80
76561198008797636,80
76561198008797636,130
76561198008797636,220
76561198008797636,240
76561198008797636,546560
76561198008797636,300
76561198008797636,320
76561198094227663,10
76561198094227663,20
76561198094227663,30
76561198094227663,40
76561198094227663,50
76561198094227663,60
76561198094227663,70
76561198094227663,80
76561198094227663,80
76561198094227663,130
76561198094227663,220
76561198094227663,240
76561198094227663,546560
76561198094227663,300
76561198094227663,320
76561198044596404,10
76561198044596404,20
76561198044596404,30
76561198044596404,40
76561198044596404,50
76561198044596404,60
76561198044596404,70
76561198044596404,80
76561198044596404,80
76561198044596404,130
76561198044596404,220
76561198044596404,240
76561198044596404,546560
76561198044596404,300
76561198044596404,320
76561198313790296,10
76561198313790296,20
76561198313790296,30
76561198313790296,40
76561198313790296,50
76561198313790296,60
76561198313790296,70
76561198313790296,80
76561198313790296,80
76561198313790296,130
76561198313790296,220
76561198313790296,240
76561198313790296,546560
76561198313790296,300
76561198313790296,320
76561197990233857,10
76561197990233857,20
76561197990233857,30
76561197990233857,40
76561197990233857,50
76561197990233857,60
76561197990233857,70
76561197990233857,80
76561197990233857,80
76561197990233857,130
76561197990233857,220
76561197990233857,240
76561197990233857,546560
76561197990233857,300
76561197990233857,320
76561197995070100,10
76561197995070100,20
76561197995070100,30
76561197995070100,40
76561197995070100,50
76561197995070100,60
76561197995070100,70
76561197995070100,80
76561197995070100,80
76561197995070100,130
76561197995070100,220
76561197995070100,240
76561197995070100,546560
76561197995070100,300
76561197995070100,320
76561198037809069,10
76561198037809069,20
76561198037809069,30
76561198037809069,40
76561198037809069,50
76561198037809069,60
76561198037809069,70
76561198037809069,80
76561198037809069,80
76561198037809069,130
76561198037809069,220
76561198037809069,240
76561198037809069,546560
76561198037809069,300
76561198037809069,320
76561197978640923,10
76561197978640923,20
76561197978640923,30
76561197978640923,40
76561197978640923,50
76561197978640923,60
76561197978640923,70
76561197978640923,80
76561197978640923,80
76561197978640923,130
76561197978640923,220
76561197978640923,240
76561197978640923,546560
76561197978640923,300
76561197978640923,320
76561198842864763,10
76561198842864763,20
76561198842864763,30
76561198842864763,40
76561198842864763,50
76561198842864763,60
76561198842864763,70
76561198842864763,80
76561198842864763,80
76561198842864763,130
76561198842864763,220
76561198842864763,240
76561198842864763,546560
76561198842864763,300
76561198842864763,320
76561198044387084,10
76561198044387084,20
76561198044387084,30
76561198044387084,40
76561198044387084,50
76561198044387084,60
76561198044387084,70
76561198044387084,80
76561198044387084,80
76561198044387084,130
76561198044387084,220
76561198044387084,240
76561198044387084,546560
76561198044387084,300
76561198044387084,320
76561198096081579,10
76561198096081579,20
76561198096081579,30
76561198096081579,40
76561198096081579,50
76561198096081579,60
76561198096081579,70
76561198096081579,80
76561198096081579,80
76561198096081579,130
76561198096081579,220
76561198096081579,240
76561198096081579,546560
76561198096081579,300
76561198096081579,320
76561198150467988,10
76561198150467988,20
76561198150467988,30
76561198150467988,40
76561198150467988,50
76561198150467988,60
76561198150467988,70
76561198150467988,80
76561198150467988,80
76561198150467988,130
76561198150467988,220
76561198150467988,240
76561198150467988,546560
76561198150467988,300
76561198150467988,320
76561198256917957,10
76561198256917957,20
76561198256917957,30
76561198256917957,40
76561198256917957,50
76561198256917957,60
76561198256917957,70
76561198256917957,80
76561198256917957,80
76561198256917957,130
76561198256917957,220
76561198256917957,240
76561198256917957,546560
76561198256917957,300
76561198256917957,320
76561199492215670,10
76561199492215670,20
76561199492215670,30
76561199492215670,40
76561199492215670,50
76561199492215670,60
76561199492215670,70
76561199492215670,80
76561199492215670,80
76561199492215670,130
76561199492215670,220
76561199492215670,240
76561199492215670,546560
76561199492215670,300
76561199492215670,320
76561198396723427,10
76561198396723427,20
76561198396723427,30
76561198396723427,40
76561198396723427,50
76561198396723427,60
76561198396723427,70
76561198396723427,80
76561198396723427,80
76561198396723427,130
76561198396723427,220
76561198396723427,240
76561198396723427,546560
76561198396723427,300
76561198396723427,320
76561197972951657,10
76561197972951657,20
76561197972951657,30
76561197972951657,40
76561197972951657,50
76561197972951657,60
76561197972951657,70
76561197972951657,80
76561197972951657,80
76561197972951657,130
76561197972951657,220
76561197972951657,240
76561197972951657,546560
76561197972951657,300
76561197972951657,320
76561197997477460,10
76561197997477460,20
76561197997477460,30
76561197997477460,40
76561197997477460,50
76561197997477460,60
76561197997477460,70
76561197997477460,80
76561197997477460,80
76561197997477460,130
76561197997477460,220
76561197997477460,240
76561197997477460,546560
76561197997477460,300
76561197997477460,320
76561197963534359,10
76561197963534359,20
76561197963534359,30
76561197963534359,40
76561197963534359,50
76561197963534359,60
76561197963534359,70
76561197963534359,80
76561197963534359,80
76561197963534359,130
76561197963534359,220
76561197963534359,240
76561197963534359,546560
76561197963534359,300
76561197963534359,320
76561198158932704,10
76561198158932704,20
76561198158932704,30
76561198158932704,40
76561198158932704,50
76561198158932704,60
76561198158932704,70
76561198158932704,80
76561198158932704,80
76561198158932704,130
76561198158932704,220
76561198158932704,240
76561198158932704,546560
76561198158932704,300
76561198158932704,320
76561198082995144,10
76561198082995144,20
76561198082995144,30
76561198082995144,40
76561198082995144,50
76561198082995144,60
76561198082995144,70
76561198082995144,80
76561198082995144,80
76561198082995144,130
76561198082995144,220
76561198082995144,240
76561198082995144,546560
76561198082995144,300
76561198082995144,320
76561198077248235,10
76561198077248235,20
76561198077248235,30
76561198077248235,40
76561198077248235,50
76561198077248235,60
76561198077248235,70
76561198077248235,80
76561198077248235,80
76561198077248235,130
76561198077248235,220
76561198077248235,240
76561198077248235,546560
76561198077248235,300
76561198077248235,320
76561198152618007,10
76561198152618007,20
76561198152618007,30
76561198152618007,40
76561198152618007,50
76561198152618007,60
76561198152618007,70
76561198152618007,80
76561198152618007,80
76561198152618007,130
76561198152618007,220
76561198152618007,240
76561198152618007,546560
76561198152618007,300
76561198152618007,320
76561197979911851,10
76561197979911851,20
76561197979911851,30
76561197979911851,40
76561197979911851,50
76561197979911851,60
76561197979911851,70
76561197979911851,80
76561197979911851,80
76561197979911851,130
76561197979911851,220
76561197979911851,240
76561197979911851,546560
76561197979911851,300
76561197979911851,320
76561198119667710,10
76561198119667710,20
76561198119667710,30
76561198119667710,40
76561198119667710,50
76561198119667710,60
76561198119667710,70
76561198119667710,80
76561198119667710,80
76561198119667710,130
76561198119667710,220
76561198119667710,240
76561198119667710,546560
76561198119667710,300
76561198119667710,320
76561198139084236,10
76561198139084236,20
76561198139084236,30
76561198139084236,40
76561198139084236,50
76561198139084236,60
76561198139084236,70
76561198139084236,80
76561198139084236,80
76561198139084236,130
76561198139084236,220
76561198139084236,240
76561198139084236,546560
76561198139084236,300
76561198139084236,320
76561198027214426,10
76561198027214426,20
76561198027214426,30
76561198027214426,40
76561198027214426,50
76561198027214426,60
76561198027214426,70
76561198027214426,80
76561198027214426,80
76561198027214426,130
76561198027214426,220
76561198027214426,240
76561198027214426,546560
76561198027214426,300
76561198027214426,320
76561198281128349,10
76561198281128349,20
76561198281128349,30
76561198281128349,40
76561198281128349,50
76561198281128349,60
76561198281128349,70
76561198281128349,80
76561198281128349,80
76561198281128349,130
76561198281128349,220
76561198281128349,240
76561198281128349,546560
76561198281128349,300
76561198281128349,320
76561198015992850,10
76561198015992850,20
76561198015992850,30
76561198015992850,40
76561198015992850,50
76561198015992850,60
76561198015992850,70
76561198015992850,80
76561198015992850,80
76561198015992850,130
76561198015992850,220
76561198015992850,240
76561198015992850,546560
76561198015992850,300
76561198015992850,320
76561197960366517,10
76561197960366517,20
76561197960366517,30
76561197960366517,40
76561197960366517,50
76561197960366517,60
76561197960366517,70
76561197960366517,80
76561197960366517,80
76561197960366517,130
76561197960366517,220
76561197960366517,240
76561197960366517,546560
76561197960366517,300
76561197960366517,320
76561198043532513,10
76561198043532513,20
76561198043532513,30
76561198043532513,40
76561198043532513,50
76561198043532513,60
76561198043532513,70
76561198043532513,80
76561198043532513,80
76561198043532513,130
76561198043532513,220
76561198043532513,240
76561198043532513,546560
76561198043532513,300
76561198043532513,320
76561198294806446,10
76561198294806446,20
76561198294806446,30
76561198294806446,40
76561198294806446,50
76561198294806446,60
76561198294806446,70
76561198294806446,80
76561198294806446,80
76561198294806446,130
76561198294806446,220
76561198294806446,240
76561198294806446,546560
76561198294806446,300
76561198294806446,320
76561197982718230,10
76561197982718230,20
76561197982718230,30
76561197982718230,40
76561197982718230,50
76561197982718230,60
76561197982718230,70
76561197982718230,80
76561197982718230,80
76561197982718230,130
76561197982718230,220
76561197982718230,240
76561197982718230,546560
76561197982718230,300
76561197982718230,320
76561198417144062,10
76561198417144062,20
76561198417144062,30
76561198417144062,40
76561198417144062,50
76561198417144062,60
76561198417144062,70
76561198417144062,80
76561198417144062,80
76561198417144062,130
76561198417144062,220
76561198417144062,240
76561198417144062,546560
76561198417144062,300
76561198417144062,320
76561198037867621,10
76561198037867621,20
76561198037867621,30
76561198037867621,40
76561198037867621,50
76561198037867621,60
76561198037867621,70
76561198037867621,80
76561198037867621,80
76561198037867621,130
76561198037867621,220
76561198037867621,240
76561198037867621,546560
76561198037867621,300
76561198037867621,320
76561198028011423,10
76561198028011423,20
76561198028011423,30
76561198028011423,40
76561198028011423,50
76561198028011423,60
76561198028011423,70
76561198028011423,80
76561198028011423,80
76561198028011423,130
76561198028011423,220
76561198028011423,240
76561198028011423,546560
76561198028011423,300
76561198028011423,320
76561197963550511,10
76561197963550511,20
76561197963550511,30
76561197963550511,40
76561197963550511,50
76561197963550511,60
76561197963550511,70
76561197963550511,80
76561197963550511,80
76561197963550511,130
76561197963550511,220
76561197963550511,240
76561197963550511,546560
76561197963550511,300
76561197963550511,320
76561198217186687,20
76561198217186687,30
76561198217186687,40
76561198217186687,60
76561198217186687,130
76561198217186687,400
76561198217186687,620
76561198217186687,1002
76561198217186687,1200
76561198217186687,1230
76561198217186687,1280
76561198217186687,1300
76561198217186687,1575940
76561198217186687,1313
76561198217186687,1500
76561197966617426,10
76561197966617426,20
76561197966617426,30
76561197966617426,40
76561197966617426,50
76561197966617426,60
76561197966617426,70
76561197966617426,80
76561197966617426,80
76561197966617426,130
76561197966617426,220
76561197966617426,240
76561197966617426,546560
76561197966617426,300
76561197966617426,320
76561198072361453,10
76561198072361453,20
76561198072361453,30
76561198072361453,40
76561198072361453,50
76561198072361453,60
76561198072361453,70
76561198072361453,80
76561198072361453,80
76561198072361453,130
76561198072361453,220
76561198072361453,240
76561198072361453,546560
76561198072361453,300
76561198072361453,320
76561199187733000,10
76561199187733000,20
76561199187733000,30
76561199187733000,40
76561199187733000,50
76561199187733000,60
76561199187733000,70
76561199187733000,80
76561199187733000,80
76561199187733000,130
76561199187733000,220
76561199187733000,240
76561199187733000,546560
76561199187733000,300
76561199187733000,320
76561198413266831,80
76561198413266831,130
76561198413266831,220
76561198413266831,546560
76561198413266831,400
76561198413266831,620
76561198413266831,1300
76561198413266831,1575940
76561198413266831,1313
76561198413266831,1500
76561198413266831,1510
76561198413266831,1520
76561198413266831,DEFCON Beta Demo
76561198413266831,1530
76561198413266831,1600
76561198152760885,10
76561198152760885,20
76561198152760885,30
76561198152760885,40
76561198152760885,50
76561198152760885,60
76561198152760885,70
76561198152760885,80
76561198152760885,80
76561198152760885,130
76561198152760885,220
76561198152760885,240
76561198152760885,546560
76561198152760885,300
76561198152760885,320
76561198061393233,10
76561198061393233,20
76561198061393233,30
76561198061393233,40
76561198061393233,50
76561198061393233,60
76561198061393233,70
76561198061393233,80
76561198061393233,80
76561198061393233,130
76561198061393233,220
76561198061393233,240
76561198061393233,546560
76561198061393233,300
76561198061393233,320
76561198093753361,10
76561198093753361,20
76561198093753361,30
76561198093753361,40
76561198093753361,50
76561198093753361,60
76561198093753361,70
76561198093753361,80
76561198093753361,80
76561198093753361,130
76561198093753361,220
76561198093753361,240
76561198093753361,546560
76561198093753361,300
76561198093753361,320
76561198017975643,10
76561198017975643,20
76561198017975643,30
76561198017975643,40
76561198017975643,50
76561198017975643,60
76561198017975643,70
76561198017975643,80
76561198017975643,80
76561198017975643,130
76561198017975643,220
76561198017975643,240
76561198017975643,546560
76561198017975643,300
76561198017975643,320
76561198040421250,10
76561198040421250,20
76561198040421250,30
76561198040421250,40
76561198040421250,50
76561198040421250,60
76561198040421250,70
76561198040421250,80
76561198040421250,80
76561198040421250,130
76561198040421250,220
76561198040421250,240
76561198040421250,546560
76561198040421250,300
76561198040421250,320
76561197992133229,10
76561197992133229,20
76561197992133229,30
76561197992133229,40
76561197992133229,50
76561197992133229,60
76561197992133229,70
76561197992133229,80
76561197992133229,80
76561197992133229,130
76561197992133229,220
76561197992133229,240
76561197992133229,546560
76561197992133229,300
76561197992133229,320
76561198028121353,10
76561198028121353,20
76561198028121353,30
76561198028121353,40
76561198028121353,50
76561198028121353,60
76561198028121353,70
76561198028121353,80
76561198028121353,80
76561198028121353,130
76561198028121353,220
76561198028121353,240
76561198028121353,546560
76561198028121353,300
76561198028121353,320
76561197972378106,10
76561197972378106,20
76561197972378106,30
76561197972378106,40
76561197972378106,50
76561197972378106,60
76561197972378106,70
76561197972378106,80
76561197972378106,80
76561197972378106,130
76561197972378106,220
76561197972378106,240
76561197972378106,546560
76561197972378106,300
76561197972378106,320
76561198063574735,10
76561198063574735,20
76561198063574735,30
76561198063574735,40
76561198063574735,50
76561198063574735,60
76561198063574735,70
76561198063574735,80
76561198063574735,80
76561198063574735,130
76561198063574735,220
76561198063574735,240
76561198063574735,546560
76561198063574735,300
76561198063574735,320
76561198104323854,10
76561198104323854,20
76561198104323854,30
76561198104323854,40
76561198104323854,50
76561198104323854,60
76561198104323854,70
76561198104323854,80
76561198104323854,80
76561198104323854,130
76561198104323854,220
76561198104323854,240
76561198104323854,546560
76561198104323854,300
76561198104323854,320
76561197965978376,10
76561197965978376,20
76561197965978376,30
76561197965978376,40
76561197965978376,50
76561197965978376,60
76561197965978376,70
76561197965978376,80
76561197965978376,80
76561197965978376,130
76561197965978376,220
76561197965978376,240
76561197965978376,546560
76561197965978376,300
76561197965978376,320
76561198842603734,10
76561198842603734,20
76561198842603734,30
76561198842603734,40
76561198842603734,50
76561198842603734,60
76561198842603734,70
76561198842603734,80
76561198842603734,80
76561198842603734,130
76561198842603734,220
76561198842603734,240
76561198842603734,300
76561198842603734,320
76561198842603734,360
76561197994616562,10
76561197994616562,20
76561197994616562,30
76561197994616562,40
76561197994616562,50
76561197994616562,60
76561197994616562,70
76561197994616562,80
76561197994616562,80
76561197994616562,130
76561197994616562,220
76561197994616562,240
76561197994616562,546560
76561197994616562,300
76561197994616562,320
76561198045455280,10
76561198045455280,20
76561198045455280,30
76561198045455280,40
76561198045455280,50
76561198045455280,60
76561198045455280,70
76561198045455280,80
76561198045455280,80
76561198045455280,130
76561198045455280,220
76561198045455280,240
76561198045455280,546560
76561198045455280,300
76561198045455280,320
76561197976597747,10
76561197976597747,20
76561197976597747,30
76561197976597747,40
76561197976597747,50
76561197976597747,60
76561197976597747,70
76561197976597747,80
76561197976597747,80
76561197976597747,130
76561197976597747,220
76561197976597747,240
76561197976597747,546560
76561197976597747,300
76561197976597747,320
76561198839032966,10
76561198839032966,20
76561198839032966,30
76561198839032966,40
76561198839032966,50
76561198839032966,60
